Id,avg_steps,avg_sedentary,avg_sleep,avg_calories,user_category
1503960366,12520.633333333333,828.4333333333333,360.28,1876.9666666666667,Very Active (10k+)
1624580081,5743.903225806452,1257.741935483871,,1483.3548387096773,Low Active (5k-7.5k)
1644430081,7282.966666666666,1161.8666666666666,294.0,2811.3,Low Active (5k-7.5k)
1844505072,3808.6666666666665,1130.1904761904761,652.0,1713.7619047619048,Sedentary (<5k)
1927972279,1670.5882352941176,1244.3529411764705,417.0,2303.0588235294117,Sedentary (<5k)
2022484408,11370.645161290322,1112.5806451612902,,2509.967741935484,Very Active (10k+)
2026352035,5566.870967741936,689.4193548387096,506.17857142857144,1540.6451612903227,Low Active (5k-7.5k)
2320127002,4716.870967741936,1220.0967741935483,61.0,1724.1612903225807,Sedentary (<5k)
2347167796,9519.666666666666,687.1666666666666,446.8,2043.4444444444443,Fairly Active (7.5k-10k)
2873212765,7555.774193548387,1097.1935483870968,,1916.967741935484,Fairly Active (7.5k-10k)
3372868164,6861.65,1077.55,,1933.1,Low Active (5k-7.5k)
3977333714,10984.566666666668,707.5333333333333,293.64285714285717,1513.6666666666667,Very Active (10k+)
4020332650,4134.35294117647,1070.2941176470588,349.375,2719.9411764705883,Sedentary (<5k)
4057192912,5117.333333333333,1143.0,,2039.6666666666667,Low Active (5k-7.5k)
4319703577,7268.8387096774195,735.8064516129032,476.65384615384613,2037.6774193548388,Low Active (5k-7.5k)
4388161847,10813.935483870968,836.6774193548387,400.17391304347825,3093.8709677419356,Very Active (10k+)
4445114986,4796.548387096775,829.9032258064516,385.17857142857144,2186.1935483870966,Sedentary (<5k)
4558609924,7685.129032258064,1093.6129032258063,127.6,2033.258064516129,Fairly Active (7.5k-10k)
4702921684,8857.8,743.9666666666667,417.48148148148147,2997.1666666666665,Fairly Active (7.5k-10k)
5553957443,8612.58064516129,668.3548387096774,463.48387096774195,1875.6774193548388,Fairly Active (7.5k-10k)
5577150313,8897.607142857143,705.4642857142857,432.0,3469.6785714285716,Fairly Active (7.5k-10k)
6117666160,8578.608695652174,656.3478260869565,478.77777777777777,2427.4347826086955,Fairly Active (7.5k-10k)
6290855005,6826.541666666667,1142.9583333333333,,2772.7083333333335,Low Active (5k-7.5k)
6775888955,3853.6470588235293,1225.0,349.6666666666667,2285.705882352941,Sedentary (<5k)
6962181067,9794.806451612903,662.3225806451613,448.0,1982.032258064516,Fairly Active (7.5k-10k)
7007744171,12267.041666666666,1078.6666666666667,68.5,2686.125,Very Active (10k+)
7086361926,9684.166666666666,830.8,453.125,2597.6,Fairly Active (7.5k-10k)
8053475328,14763.290322580646,1148.0,297.0,2945.8064516129034,Very Active (10k+)
8253242879,6842.277777777777,1278.888888888889,,1887.3333333333333,Low Active (5k-7.5k)
8378563200,8717.709677419354,716.1290322580645,445.1290322580645,3436.5806451612902,Fairly Active (7.5k-10k)
8583815059,7438.466666666666,1261.4666666666667,,2823.1,Low Active (5k-7.5k)
8792009665,2829.3684210526317,934.0,435.6666666666667,2192.5263157894738,Sedentary (<5k)
8877689391,16040.032258064517,1112.8709677419354,,3420.2580645161293,Very Active (10k+)
